"Variable","Min","Mean","Median","Max","SD","N"
"gdp_ppp",20283.1,33979.7,32555.6,80200,8826.6,208
"population",4445329,25030117.3,10341716.5,83456045,28647981.5,208
"capital_stock",604013.7,3253230.3,1310209,11773186.7,3616744,205
"gov_consumption",25714,202775,96979.6,951782,211949.8,208
"tax_revenues",40590,249243.7,137111.2,1006603,240049.1,208
"rd_expenditure",2445,23125.1,10426.1,135570,27383.3,205
"interest_rate",-0.5,2.7,3,6.4,1.8,208
"private_investment",28485,193591.9,96384.5,894143,206361.3,208
"spiri_milex_per_capita",285.5,712,653.7,1880.2,298.3,208
"milex_total",1868,11893.1,5545.5,51179.8,12874.2,202
"foreign_aid_1",0,642.7,250,8720,944.1,195
"rd_defence",0,241.9,43,1392,365.7,195
"personnel_1",802,5320.5,2272.5,20529.5,5832.6,202
"intermediate_1",336,3703.3,1708.7,19249.8,4265.8,202
"gfcf_1",149.2,2422.8,1295.8,9969.2,2651.1,202
"other_milex",0.7,280,100.9,1744.6,423.9,127
"gdp_deflator",64.8,92.4,90.5,161.5,14.7,208
"capital_stock_real",711113.5,3611994.8,1499579.6,13322438.6,4054946.9,205
"gov_consumption_real",35934,219706.8,105305.6,795759.4,222556.5,208
"tax_revenues_real",56722.4,269904.4,146805.4,891813,252752.2,208
"rd_expenditure_real",3773.7,24981.7,12025.3,113219.3,28514.3,205
"private_investment_real",39806.3,210033.7,97528.2,788549,218696.9,208
"milex_total_real",2486.2,13086.2,5595.6,46747.7,13986.5,202
"foreign_aid_1_real",0,685.5,283.2,7478.9,922.6,195
"rd_defence_real",0,273.4,47.2,1334.7,423.4,195
"personnel_1_real",1054,5937.3,2139.4,20711.8,6529,202
"intermediate_1_real",462,4022.8,1779.2,17582.8,4478.8,202
"gfcf_1_real",160.2,2660.3,1333.9,11387.1,2921.1,202
"capital_stock_pc",1142.4,1540.6,1502.3,2467.3,242.5,205
"gov_consumption_pc",65.7,103,100.8,158.5,21.1,208
"tax_revenues_pc",73.5,142.8,126.1,271.7,50.2,208
"rd_expenditure_pc",6.5,11.2,11.3,17.6,3.1,205
"private_invest_pc",62.7,97.9,93.7,177.5,22,208
"milex_total_pc",3.2,6.2,6,14.3,2,202
"foreign_aid_1_pc",0,0,0,0.3,0,195
"rd_defence_pc",0,0.1,0.1,0.3,0.1,195
"personnel_pc",1.4,2.6,2.8,4.8,0.7,202
"intermediate_pc",0.5,1.9,1.9,3.8,0.8,202
"gfcf_pc",0,0.1,0.1,0.5,0.1,202
"output_gap",-6.4001,-0.264,-0.1377,4.8917,1.9735,208
"inflation",-0.2,2.0933,1.9,11.6,1.7212,208
"human_capital",20.9,34.687,34.1,50.5,6.9528,208
"unemployment",2.7167,6.5954,6.8708,11.3167,2.0819,208
"spiri_milex_share_gdp",0.0089,0.0144,0.0137,0.0242,0.0032,208
"spiri_milex_share_govspend",0.0168,0.0289,0.0276,0.0506,0.0063,208
"import_share",0.34,0.6018,0.49,1.28,0.2446,161
"personnel_pct",0.3,0.6074,0.6,1,0.163,202
"intermediate_pct",0.1,0.4332,0.5,0.9,0.1521,202
"gfcf_pct",0,0.2891,0.3,0.8,0.1645,202
"milex_total_pct",0.8,1.3832,1.4,2.2,0.3327,202
"foreign_aid_pct",0,0.0662,0.1,0.5,0.0752,195
